,index
0,acción
1,actuar
2,acuerdo
3,adulto
4,adversario
5,aeropuerto
6,afortunadamente
7,agua
8,ambiente
9,américa
10,apoyar
11,apoyo
12,artículo
13,asunto
14,atención
15,atender
16,atrás
17,aumentar
18,autoridad
19,avance
20,avanzar
21,avión
22,ayuda
23,ayudar
24,banco
25,bastante
26,beca
27,beneficio
28,bidir
29,bien
30,bienestar
31,buen
32,buena
33,bueno
34,buscar
35,cabo
36,calderón
37,californio
38,cambio
39,camino
40,campaña
41,campeche
42,candidato
43,cargo
44,casa
45,caso
46,causa
47,centro
48,cerca
49,chiapa
50,chihuahua
51,cierto
52,ciudad
53,ciudadano
54,civil
55,claro
56,comisión
57,completo
58,compra
59,comprar
60,compromiso
61,comunicación
62,comunidad
63,condición
64,conferencia
65,confianza
66,congreso
67,conocer
68,conservador
69,conservadurismo
70,constitucional
71,constitución
72,construcción
73,construir
74,consulta
75,consumo
76,contar
77,continuar
78,contrario
79,contrato
80,control
81,corresponder
82,corrupción
83,corrupto
84,corte
85,crecimiento
86,crisis
87,crédito
88,cuidar
89,cultura
90,cumplir
91,cuándo
92,cámara
93,dar
94,dar él
95,dato
96,daño
97,deber
98,decir
99,decir él
100,decisión
101,defensa
102,delincuencia
103,delito
104,democracia
105,denuncia
106,derecho
107,derechos
108,desarrollo
109,deuda
110,diciembre
111,diferencia
112,difícil
113,dinero
114,diputado
115,director
116,dirigente
117,distinto
118,diálogo
119,doctor
120,dueño
121,díaz
122,dólares
123,economía
124,económico
125,educación
126,ejemplo
127,ejército
128,elección
129,electoral
130,electricidad
131,elemento
132,eléctrico
133,embargo
134,empezar
135,empleo
136,empresa
137,empresario
138,energía
139,enfrentar
140,entrega
141,entregar
142,escuela
143,escuelar
144,especial
145,especialista
146,extranjero
147,falta
148,familia
149,familiar
150,federal
151,felipe
152,fin
153,final
154,fiscal
155,fiscalía
156,fondo
157,forma
158,fox
159,fraude
160,frontera
161,fuerte
162,fuerza
163,funcionario
164,función
165,garantizar
166,garcía
167,gas
168,gasolina
169,general
170,gente
171,gobernación
172,gobernador
173,gobierno
174,gonzález
175,grave
176,grupo
177,guanajuato
178,guardia
179,guerra
180,guerrero
181,gusto
182,hacer
183,haciendo
184,hectárea
185,hijo
186,historia
187,hombre
188,homicidio
189,honestidad
190,hospital
191,humano
192,impuesto
193,impunidad
194,industria
195,ine
196,inflación
197,información
198,informar
199,ingreso
200,iniciativo
201,instituto
202,interesante
203,interés
204,inversión
205,investigación
206,ir
207,jesús
208,joven
209,judicial
210,juez
211,justicia
212,juárez
213,kilómetro
214,lamentable
215,legal
216,legislador
217,ley
218,libertad
219,libre
220,libro
221,llamado
222,llamar
223,llevar
224,luis
225,luna
226,lópez
227,madero
228,maestro
229,mal
230,mantener
231,marcelo
232,marino
233,materia
234,maya
235,mayor
236,mayoría
237,mañana
238,medicamento
239,medio
240,mejor
241,menos
242,mercado
243,mes
244,mexicano
245,migrant
246,mil
247,millón
248,mirar
249,mismo
250,mitad
251,modelo
252,modo
253,momento
254,moral
255,movimiento
256,mucho
257,muchísimo
258,mujer
259,mundo
260,municipio
261,médico
262,méxico
263,nacional
264,nación
265,nadie
266,negocio
267,neoliberal
268,ninguno
269,nivel
270,niño
271,noche
272,norte
273,nuevo
274,nunca
275,número
276,oaxaca
277,obra
278,opinión
279,orden
280,organización
281,padre
282,pagar
283,palabra
284,pan
285,pandemiar
286,parte
287,participar
288,particular
289,partido
290,pasar
291,paz
292,país
293,pemex
294,pendiente
295,pensamiento
296,pensión
297,periodista
298,periodo
299,periódico
300,persona
301,personal
302,peso
303,petróleo
304,peño
305,plan
306,planta
307,plantear
308,población
309,pobre
310,pobreza
311,poder
312,político
313,porfirio
314,precio
315,pregunta
316,preguntar
317,prensa
318,presidencia
319,presidente
320,presupuesto
321,primero
322,principal
323,principio
324,problema
325,proceso
326,producción
327,programa
328,protección
329,proteger
330,proyecto
331,prueba
332,próximo
333,pueblo
334,puerto
335,público
336,quintanar
337,quién
338,radio
339,razón
340,realidad
341,recurso
342,red
343,refineer
344,reforma
345,región
346,relación
347,república
348,respeto
349,responsabilidad
350,responsable
351,respuesta
352,resultado
353,reunión
354,revolución
355,robar
356,roo
357,régimen
358,salario
359,salinas
360,salud
361,santar
362,secretacer
363,secretaria
364,secretario
365,sector
366,seguridad
367,semana
368,ser
369,servicio
370,servidor
371,señor
372,señora
373,sistema
374,situación
375,social
376,sociedad
377,sonoro
378,suceder
379,sur
380,sureste
381,tabascir
382,tarde
383,terminar
384,tiempo
385,tipo
386,trabajador
387,trabajar
388,tramo
389,transformación
390,transparencia
391,trar
392,tratar
393,tren
394,término
395,unido
396,universal
397,utilizar
398,vacuna
399,veracruz
400,verdad
401,vida
402,violencia
403,vía
404,zona
405,época
406,íbar
407,último
408,único
